zone_name,total_trips,total_revenue,avg_fare,avg_trip_duration_minutes
132,1539053,110952072.63998416,72.09113178037674,41.85944104372407
138,948506,62717758.57000517,66.12267984599482,30.055120930530048
161,1552149,37899945.88000145,24.417723994282408,15.27302669825298
237,1529211,30831032.909998458,20.161398858626086,12.193088658138086
230,1136492,30049254.090000503,26.440356896485415,16.520303398528103
236,1347510,27685524.459997352,20.5456912824375,12.49837365461728
186,1141221,27414804.200000625,24.022344664180405,16.095526005334055
162,1111196,26264868.88000076,23.636576157582244,14.47025542748534
68,927307,22703153.440000083,24.48288801874685,16.223691470749888
170,963980,22045973.540000103,22.869741633643958,14.30510792063459
